,Year,MSL
583,1975,-0.115
584,1975,-0.068
585,1975,-0.067
586,1975,-0.105
587,1975,-0.09300000000000001
588,1975,-0.079
589,1975,-0.11199999999999999
590,1975,-0.08800000000000001
591,1975,-0.127
592,1975,-0.115
593,1975,-0.13699999999999998
594,1976,-0.095
595,1976,-0.064
596,1976,-0.068
597,1976,-0.057999999999999996
598,1976,-0.026000000000000002
599,1976,-0.022000000000000002
600,1976,-0.018000000000000002
601,1976,-0.09300000000000001
602,1976,-0.018000000000000002
603,1976,-0.027000000000000003
604,1976,0.016
605,1976,0.022000000000000002
606,1977,-0.009000000000000001
607,1977,-0.067
608,1977,-0.099
609,1977,-0.10400000000000001
610,1977,-0.09
611,1977,-0.083
612,1977,-0.076
613,1977,-0.054000000000000006
614,1977,-0.073
615,1977,-0.045
616,1977,-0.018000000000000002
617,1977,-0.009000000000000001
618,1978,0.0
619,1978,0.002
620,1978,-0.006
621,1978,-0.053
622,1978,-0.047
623,1978,-0.081
624,1978,-0.085
625,1978,-0.081
626,1978,-0.051
627,1978,-0.02
628,1978,-0.024
629,1978,-0.024
630,1979,0.001
631,1979,-0.032
632,1979,-0.034
633,1979,-0.037000000000000005
634,1979,-0.063
635,1979,-0.055999999999999994
636,1979,-0.057
637,1979,-0.042
638,1979,-0.039
639,1979,-0.069
640,1979,-0.076
641,1979,-0.027000000000000003
642,1980,0.006
643,1980,0.046
644,1980,-0.006999999999999999
645,1980,-0.027999999999999997
646,1980,-0.040999999999999995
647,1980,-0.040999999999999995
648,1980,-0.091
649,1980,-0.039
650,1980,-0.061
651,1980,-0.069
652,1980,-0.073
653,1980,-0.036000000000000004
654,1981,-0.015
655,1981,-0.039
656,1981,-0.035
657,1981,-0.012
658,1981,0.013000000000000001
659,1981,-0.013000000000000001
660,1981,-0.024
661,1981,-0.057
662,1981,-0.08800000000000001
663,1981,-0.054000000000000006
664,1981,-0.064
665,1981,-0.067
666,1982,-0.086
667,1982,-0.054000000000000006
668,1982,-0.001
